BAC,recid,treat,run,runint
.075000003,.11693121,0,-.0049999971,0
.075999998,.10994764,0,-.0040000025,0
.077,.10542477,0,-.0030000005,0
.078000002,.1134372,0,-.0019999985,0
.079000004,.12059104,0,-.00099999632,0
.079999998,.11244019,0,-1.7881393e-09,0
.081,.087703437,1,.0010000003,.0010000003
.082000002,.10462185,1,.0020000022,.0020000022
.082999997,.096581198,1,.0029999968,.0029999968
.083999999,.10004239,1,.0039999988,.0039999988
.085000001,.1016129,1,.0050000008,.0050000008
.086000003,.095665753,1,.0060000028,.0060000028
.086999997,.097392641,1,.0069999974,.0069999974
.088,.10491677,1,.0079999994,.0079999994
.089000002,.10078096,1,.0090000015,.0090000015
.090000004,.10967278,1,.010000004,.010000004
.090999998,.092143908,1,.010999998,.010999998
.092,.096491225,1,.012,.012
.093000002,.10751566,1,.013000002,.013000002
.093999997,.10176679,1,.013999997,.013999997
.094999999,.094708458,1,.014999999,.014999999
.096000001,.11376836,1,.016000001,.016000001
.097000003,.10076177,1,.017000003,.017000003
.097999997,.098179452,1,.017999997,.017999997
.098999999,.11211925,1,.018999999,.018999999
.1,.10989011,1,.020000001,.020000001
.101,.10351437,1,.021000003,.021000003
.102,.10436188,1,.021999998,.021999998
.103,.10375276,1,.023,.023
.104,.11349105,1,.024000002,.024000002
.105,.10127766,1,.024999997,.024999997
.106,.10317955,1,.025999999,.025999999
.107,.10031153,1,.027000001,.027000001
.108,.11151079,1,.028000003,.028000003
.109,.11770046,1,.028999997,.028999997
.11,.10351201,1,.029999999,.029999999
.111,.1025716,1,.031000001,.031000001
.112,.10732436,1,.032000005,.032000005
.113,.10962415,1,.033,.033
.114,.11523259,1,.034000002,.034000002
.115,.11614815,1,.035000004,.035000004
.116,.11127465,1,.035999998,.035999998
.117,.10682226,1,.037,.037
.118,.12041885,1,.038000003,.038000003
.119,.11042079,1,.039000005,.039000005
.12,.10845481,1,.039999999,.039999999
.121,.11271336,1,.041000001,.041000001
.122,.11489971,1,.042000003,.042000003
